nombre,apellido,tipodocumento,documento,telefono,estado
Juan,Pérez,CC,1023456789,5551234567,1
María,Gómez,TI,1012345678,5552345678,1
Carlos,Sánchez,CC,1023456790,5553456789,0
Ana,Martínez,CC,1023456791,5554567890,1
Jorge,Jiménez,CC,1023456792,5555678901,0
Lucía,Rodríguez,TI,1012345679,5556789012,1
Fernando,García,CC,1023456793,5557890123,1
Rosa,Hernández,TI,1012345680,5558901234,0
Alberto,López,CC,1023456794,5559012345,1
Paula,Fernández,CC,1023456795,5560123456,1
Esteban,Muñoz,CC,1023456796,5561234567,0
Lorena,Álvarez,TI,1012345681,5562345678,1
Matías,Torres,CC,1023456797,5563456789,1
Valeria,Ortiz,CC,1023456798,5564567890,0
Gabriel,Morales,TI,1012345682,5565678901,1
