id,Nombre,Apellido,Documento,NumeroDocumento,Telefono,TipoCliente,Estado
1,Juan,Pérez,DNI,1023456789,5551234567,CLI,True
2,María,Gómez,PAS,1012345678,5552345678,CLI,True
3,Carlos,Sánchez,DNI,1023456790,5553456789,EMP,False
4,Ana,Martínez,DNI,1023456791,5554567890,CLI,True
5,Jorge,Jiménez,DNI,1023456792,5555678901,EMP,False
6,Lucía,Rodríguez,PAS,1012345679,5556789012,CLI,True
7,Fernando,García,DNI,1023456793,5557890123,CLI,True
8,Rosa,Hernández,DNI,1012345680,5558901234,CLI,False
9,Alberto,López,DNI,1023456794,5559012345,CLI,True
10,Paula,Fernández,PAS,1023456795,5560123456,CLI,False
11,Esteban,Muñoz,PAS,1023456796,5561234567,CLI,False
12,Lorena,Álvarez,DNI,1012345681,5562345678,CLI,True
13,Matías,Torres,DNI,1023456797,5563456789,CLI,True
14,Valeria,Ortiz,DNI,1023456798,5564567890,CLI,True
15,Pedro,Ramírez,DNI,1023456799,5565678901,CLI,False
16,Sofía,Gutiérrez,PAS,1012345682,5566789012,CLI,True
17,Diego,Moreno,DNI,1023456800,5567890123,EMP,False
18,Luisa,Molina,DNI,1023456801,5568901234,CLI,True
19,Andrés,Pérez,DNI,1023456802,5569012345,CLI,True
20,Marta,García,DNI,1023456803,5560123456,CLI,True
21,Nicolás,Rodríguez,PAS,1012345683,5561234567,CLI,False
22,Pablo,Castillo,DNI,1023456804,5562345679,CLI,True
23,Carmen,Ruiz,PAS,1012345684,5563456780,CLI,True
24,Julio,Navarro,DNI,1023456805,5564567891,EMP,False
25,Adriana,Suárez,DNI,1023456806,5565678902,CLI,True
26,Ricardo,Ramos,PAS,1012345685,5566789013,CLI,True
27,Elena,Vega,DNI,1023456807,5567890124,CLI,False
28,Miguel,Mendoza,DNI,1023456808,5568901235,CLI,True
29,Gloria,Silva,PAS,1012345686,5569012346,CLI,False
30,Tomás,Iglesias,DNI,1023456809,5560123457,CLI,True
31,Inés,Cruz,DNI,1023456810,5561234568,CLI,True
32,Mateo,Letona,DNI,1010101010,545454545454,CLI,True
33,Ignacio,Picchio,DNI,46037747,35344119161,EMP,False
