nombre,apellido,tipodocumento,documento,telefono,tipoPersona,estado
Juan,Pérez,DNI,1023456789,5551234567,CLI,1
María,Gómez,PAS,1012345678,5552345678,CLI,1
Carlos,Sánchez,DNI,1023456790,5553456789,EMP,0
Ana,Martínez,DNI,1023456791,5554567890,CLI,1
Jorge,Jiménez,DNI,1023456792,5555678901,EMP,0
Lucía,Rodríguez,PAS,1012345679,5556789012,CLI,1
Fernando,García,DNI,1023456793,5557890123,CLI,1
Rosa,Hernández,DNI,1012345680,5558901234,CLI,0
Alberto,López,DNI,1023456794,5559012345,CLI,1
Paula,Fernández,PAS,1023456795,5560123456,CLI,0
Esteban,Muñoz,PAS,1023456796,5561234567,CLI,0
Lorena,Álvarez,DNI,1012345681,5562345678,CLI,1
Matías,Torres,DNI,1023456797,5563456789,CLI,1
Valeria,Ortiz,DNI,1023456798,5564567890,CLI,1
